"","budget","score","year","gross","usa"
"1",8,8.1,0,52.287414,1
"2",6,7.8,0,70.136369,1
"3",15,6.9,0,179.800601,1
"4",18.5,8.4,0,85.160248,1
"5",9,6.9,0,18.564613,1
"6",6,8.1,0,138.530565,0
"7",25,7.4,0,12.729917,0
"8",6,7.8,0,8.551228,1
"9",9,6.8,0,40.471663,1
"10",15,7.5,0,40.456565,1
"11",8.8,6.5,0,174.635,0
"12",16,7.2,0,5.9,0
"13",6,6.8,0,8.2,1
"14",25,7.3,0,11.1,1
"15",15,7.2,0,8.620929,1
"16",17,5.9,0,6.734844,1
"17",10,5.4,0,7.433663,1
"18",25,6.9,0,38.747385,1
"19",2.7,5.9,0,3.5,1
"20",35,4.6,0,16.295774,1
"21",2,6,0,13.167232,1
"22",11,6.6,0,91.258,1
"23",4.7,5.6,0,8.025872,1
"24",15,6.8,0,42.724017,1
"25",25,7.3,0,109.713132,1
"26",25,5.9,0,79.817937,1
"27",1.9,7.1,0,4.6,1
"28",25,6.4,0,39.246734,1
"29",25,5.7,0,49.042224,1
"30",24.5,7.5,0,17.218023,0
"31",13.8,7,0,52.293982,1
"32",6,7.3,0,5.844868,1
"33",10,6.3,0,37.499651,1
"34",3,5.9,0,19.472057,1
"35",25,6.6,0,14.302779,1
"36",4,7.1,0,2.826523,0
"37",10,3.8,0,4.71122,1
"38",4.5,6.7,0,1.261,1
"39",18,6.3,0,41.382841,1
"40",19,5.7,0,40.996665,1
"41",1.1,4.3,0,5.450815,1
"42",0.111,7,0,0.609939,1
"43",18,5.6,0,9.697739,1
"44",6.4,8,0,40.084041,1
"45",14,7.2,0,38.6,1
"46",8.5,5.5,0,16.209459,1
"47",6,7.3,0,5.849647,1
"48",5,6.8,0,0.591366,1
"49",12,5.5,0,4.884663,1
"50",6,7.6,0,28.607524,0
"51",6.5,7,0,2.347,1
"52",20,6.1,0,25.314289,1
"53",15,5.3,0,1.953732,1
"54",12,5.6,0,17.7689,1
"55",18,6.2,0,36.61161,1
"56",0.175,6.6,0,7.137502,1
"57",8.7,6.3,0,4.865912,1
"58",12,5.6,0,15.945534,1
"59",1.1,7.8,0,1.436,1
"60",10,6.7,0,20.603715,1
"61",18,6.1,0,3.9,1
"62",5,6.2,0,12.947763,1
"63",25,4.8,0,1.57926,1
"64",40,6.1,0,1.641825,0
"65",10,6.2,0,21.458229,1
"66",12,5.9,0,7.790931,1
"67",2,5.7,0,7.369373,0
"68",14,6.1,0,62.134225,1
"69",8.5,7.2,0,0.277646,0
"70",18,5.7,0,1.305114,1
"71",8,5,0,11.834302,1
"72",3.3,5.9,0,4.941117,1
"73",15,4.9,0,12.308521,1
"74",40,5.9,0,49.851591,1
"75",13,5.6,0,8.475466,1
"76",17,3.1,0,2.315683,0
"77",16,5.7,0,3.8,1
"78",20,6.4,0,22.9055,1
"79",6,5.9,0,9.947631,1
"80",4,5.9,0,4.67965,1
"81",18,6.9,0,11.957943,1
"82",25,5.5,0,4.00725,1
"83",17,5.5,0,2.793214,1
"84",14,6.3,0,18.03415,1
"85",3.401376,4.3,0,3.38802,1
"86",10,4.4,0,6.947787,1
"87",2,5.9,0,1.301121,1
"88",18,4.6,0,2.2955,0
"89",1.5,4.9,0,1.368912,1
"90",16,8.1,1,30.857814,1
"91",1,7,1,14.564027,0
"92",30,8.3,1,46.357676,0
"93",6,6.9,1,63.952836,1
"94",15,7.8,1,59.735548,1
"95",27,6.6,1,38.122105,1
"96",22.7,7.1,1,38.119483,1
"97",13,7.5,1,53.424681,1
"98",15,7.6,1,65.207127,1
"99",25,7.9,1,76.270454,1
"100",3.6,7.8,1,5.923044,1
"101",22,5.4,1,17.33637,1
"102",12,7.2,1,3.76999,1
"103",14,6.9,1,156.645693,1
"104",30,6.7,1,51.185897,0
"105",15,7.4,1,43.8481,1
"106",35,7.8,1,22.238696,1
"107",22,6.5,1,63.76651,1
"108",4.5,6.6,1,44.793222,1
"109",23,2.9,1,20.763013,1
"110",25,5.7,1,16.05758,1
"111",30,7.6,1,49.53028,1
"112",6,7.4,1,22.847564,1
"113",17,7.3,1,17.185632,0
"114",6,5.8,1,42.721196,1
"115",27,6.8,1,25.89381,1
"116",15,7.1,1,80.640528,1
"117",28,6.5,1,153.665,1
"118",23,7.8,1,43.98423,0
"119",13,7.3,1,123.92237,1
"120",2.6,7.7,1,3.130592,0
"121",11,5.9,1,167.78096,1
"122",3,6.7,1,14.182492,1
"123",6.5,6.8,1,54.215416,1
"124",5,7,1,3.369307,1
"125",15,7.1,1,35.509515,1
"126",20,7.2,1,51.249404,1
"127",2.5,6,1,13.539458,0
"128",17,3.6,1,15.68102,0
"129",3.5,6,1,14,1
"130",3,3.2,1,7.888703,1
"131",12,6.6,1,40.050884,1
"132",12,6.5,1,66.995879,1
"133",20,5.9,1,57.387516,1
"134",18,5.9,1,39.321715,1
"135",1,2.7,1,1.576615,1
"136",14,6.2,1,57.915972,1
"137",3,7.3,1,3.221568,1
"138",6,7.2,1,3.685862,1
"139",15,5.2,1,13.290368,1
"140",16,7.6,1,14.792779,1
"141",3,5.5,1,23.509382,1
"142",17,6.1,1,10.278549,1
"143",29,7.5,1,5.899797,0
"144",6,6.5,1,12.423831,0
"145",27,6.8,1,7.393346,1
"146",5,5.3,1,6.88031,1
"147",18,6.1,1,18.532286,1
"148",4,4.9,1,0.8,1
"149",55,4.2,1,14.375181,1
"150",0.1,7,1,5.228617,1
"151",22,6.6,1,11.307844,1
"152",0.35,4.8,1,4,1
"153",4,7.9,1,1.680358,1
"154",24,2.2,1,4.916871,1
"155",5,6.4,1,1.119112,1
"156",9,5.3,1,5.406879,1
"157",7,6.4,1,7.019441,1
"158",10,5.6,1,3.060858,1
"159",6,6.4,1,1.432687,0
"160",5.3,6.3,1,3.107551,0
"161",10,6.7,1,0.486434,1
"162",3.52,5,1,0.562187,1
"163",1.3,5.9,1,0.354704,1
"164",25,6.7,1,30.950002,1
"165",11,6.5,1,25.411386,1
"166",7.5,6.3,1,0.796368,1
"167",3,5.5,1,9.868521,1
"168",1,5.8,1,0.2102,0
"169",0.1,3.5,1,0.154323,1
"170",8,5.8,1,1.988962,1
"171",5.8,6.6,1,0.257043,1
"172",19,4.6,1,2.228951,1
"173",5,5.1,1,6.075793,1
"174",0.075,3.5,1,0.013133,1
"175",12,5.5,1,5.669831,1
"176",1.1,6,1,1.355728,1
"177",5,4.8,1,0.85825,1
"178",4,5.5,1,0.743445,1
"179",15,5.4,1,5.711976,1
"180",14,5.2,1,20.240502,1
"181",12,6,1,2.325444,1
"182",15,7.5,2,73.707461,1
"183",39,7,2,128.1523,1
"184",9,6.6,2,33.244684,1
"185",28,8.2,2,83.008852,1
"186",35,7.3,2,57.269863,1
"187",3,7.3,2,1.108462,1
"188",25,8,2,172.825435,1
"189",4,7.3,2,13.008928,1
"190",70,7.7,2,156.45237,1
"191",18,7.3,2,114.968774,1
"192",20,5.8,2,78.222753,1
"193",5,8.5,2,11.990401,0
"194",19,6.4,2,8.247943,1
"195",3.5,6.2,2,4.385516,1
"196",7.5,7.6,2,63.493712,0
"197",2,6.1,2,15.625095,1
"198",30,7.6,2,38.413606,1
"199",3,6.5,2,11.090735,0
"200",15,7.8,2,34.603943,1
"201",12,7.6,2,78.041829,1
"202",1.1,6.8,2,11.806119,1
"203",28,6.7,2,64,1
"204",14,5.5,2,109.305,0
"205",12.5,7.4,2,48.092846,1
